mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
3.273.684.321.106.820,4,29.030.782.607.955.200,23.832.003.922.721.100,210.655.550.465.031,1.957.122.241.224.460,82,1,car_0
17.390.739.666.643.200,6,41.264.024.340.224.200,250.0,3.206.695.135.704.040,12.747.484.425.213.700,82,3,car_1
22.143.520.049.337.900,4,3.118.043.371.903.270,24.856.101.594.273.700,25.179.686.224.633.000,19.855.199.149.448.000,79,2,car_2
13.036.640.908.128.500,8,4.871.465.058.235.340,250.0,39.780.483.305.847.700,13.870.426.204.114.100,72,1,car_3
2.960.550.057.789.820,4,2.539.749.697.940.990,250.0,2.272.607.569.921.350,18.468.932.803.833.200,79,1,car_4
1.319.761.894.258.880,6,47.788.630.571.186.800,250.0,3.871.286.225.603.300,16.366.520.697.510.100,79,2,car_5
18.039.636.193.777.500,6,43.322.773.870.365.600,250.0,33.709.279.637.098.700,20.611.044.020.023.900,73,1,car_6
3.685.665.303.841.230,4,20.587.492.418.774.500,2.110.820.636.829.380,1500.0,19.726.390.086.101.000,80,1,car_7
3.377.476.953.862.160,4,21.623.236.274.536.000,1.971.187.454.182.590,17.887.562.781.242.000,16.913.938.157.954.200,82,1,car_8
16.388.511.057.086.000,6,500.0,250.0,39.765.258.438.484.300,1.760.225.227.278.400,74,3,car_9
1.309.117.004.600.370,6,46.851.429.625.920.200,250.0,3.731.250.921.270.780,2.319.598.879.639.210,77,1,car_10
2.751.071.736.981.020,6,33.198.408.524.798.200,15.850.422.097.113.300,27.083.785.854.134.800,20.011.990.178.447.000,81,1,car_11
29.446.712.607.142.200,6,2.861.209.149.395.940,22.423.802.569.701.100,23.928.451.357.657.000,17.929.653.823.033.200,73,3,car_12
28.059.627.217.375,4,32.108.253.964.912.800,250.0,2.622.607.362.020.320,15.376.553.723.965.700,82,1,car_13
1.900.197.574.949.600,8,39.886.855.755.003.000,250.0,31.568.448.397.513.000,1.549.368.065.842.550,73,2,car_14
3.429.307.782.271.270,4,293.105.309.517.631,21.088.103.592.381.100,21.845.661.153.323.600,20.355.412.649.573.300,82,1,car_15
2.477.143.048.177.570,6,34.631.216.440.116.400,250.0,264.794.036.143.411,1.519.465.192.160.080,73,3,car_16
10.478.737.426.608.100,8,500.0,250.0,4.169.651.965.025.080,1.633.841.431.821.230,79,1,car_17
1.759.491.894.094.290,8,500.0,250.0,3.915.282.752.320.650,20.897.573.984.697.500,76,1,car_18
3.127.373.877.048.930,4,2.709.409.691.454.850,250.0,18.983.191.946.763.900,1.905.285.798.439.450,74,1,car_19
28.022.566.110.496.200,4,31.062.910.109.079.400,22.567.394.067.724.600,27.169.477.450.288.000,14.545.656.881.078.900,75,3,car_20
32.131.316.305.960.400,6,31.231.209.810.812.500,250.0,231.002.108.641.884,24.723.522.471.598.900,72,3,car_21
31.820.673.762.799.800,4,28.368.902.736.480.100,2.096.151.448.667.590,2.276.561.639.679.810,23.510.783.254.157.900,78,1,car_22
14.466.381.581.242.300,6,45.971.831.491.094.700,250.0,3.775.979.136.329.460,1.822.755.053.880.780,82,1,car_23
28.408.451.602.577.600,6,3.689.921.466.756.520,250.0,2.952.580.848.512.770,2.137.468.538.550.440,77,1,car_24
3.463.264.725.637.860,4,28.736.268.811.244.900,250.0,1.803.273.925.757.290,1.789.578.703.083.970,73,1,car_25
36.495.803.051.225.900,4,22.920.738.241.851.300,16.656.080.373.871.700,19.117.566.586.694.500,207.616.067.743.269,78,1,car_26
1.999.056.144.732.280,6,3.646.899.389.716.560,250.0,3.182.812.161.798.330,1.604.656.842.265.940,75,3,car_27
27.345.366.758.625.300,6,3.015.160.517.509.230,24.593.297.629.167.800,25.694.348.596.073.500,13.864.320.050.527.700,81,1,car_28
382.966.845.648.721,4,26.497.703.492.721.400,24.544.785.172.359.500,16.950.174.830.186.100,2.658.075.034.950.340,73,3,car_29
2.536.457.379.590.120,4,3.009.262.248.010.210,1.919.525.407.244.550,2.832.858.663.008.710,13.447.527.137.121.300,76,1,car_30
25.023.834.141.876.100,4,31.245.678.511.041.400,250.0,22.344.839.704.964.500,1.915.819.042.267.720,76,3,car_31
1.610.278.048.259.510,6,4.984.747.986.716.990,250.0,377.211.449.744.469,17.585.515.558.089.800,81,1,car_32
18.481.661.418.076.700,6,374.984.341.150.958,250.0,31.562.502.479.151.200,18.891.766.504.653.400,71,1,car_33
29.879.276.895.592.200,8,31.722.884.010.737.300,19.304.746.996.437.200,2.628.399.011.037.450,17.602.548.190.387.000,78,3,car_34
1.773.822.524.085.000,8,43.322.240.899.191.900,250.0,3.481.846.292.983.310,16.780.404.177.332.300,80,1,car_35
